XML파일명,SQLID,SQL에러
TbAirRv100Mapper_Custom.xml,selectAirSaleStatisticsInfoDetail,XML Parse Error: not well-formed (invalid token): line 18827
TbComCd200Mapper_Custom.xml,getTasfCommApplyUnitAmt,XML Parse Error: not well-formed (invalid token): line 602
TbAirTk110EbyMapper_Custom.xml,selecInterfaceSchedulerIssuTk,XML Parse Error: not well-formed (invalid token): line 69
TbAirTp120Mapper_Custom.xml,selectBusinessPartnerEmployeesMemberShipInfo,XML Parse Error: mismatched tag: line 159
TbNvrFb600TmpMapper_Custom.xml,insertCombineFareTmp,XML Parse Error: not well-formed (invalid token): line 37
TbAirTk110Mapper_Custom.xml,selectOnlineResultStatisticsInfo,XML Parse Error: not well-formed (invalid token): line 6165
TbComCd860Mapper_Custom.xml,unknown,XML Parse Error: not well-formed (invalid token): line 88
TbAirTk120Mapper_Custom.xml,insertCustom,XML Parse Error: not well-formed (invalid token): line 796
TbAnoRv410Mapper_Custom.xml,selectDepositPromotionInfo,XML Parse Error: mismatched tag: line 1437
TbVofBd110Mapper_Custom.xml,getFareSeatInquireByCustomQuery,XML Parse Error: not well-formed (invalid token): line 265
TbAirTk112Mapper_Custom.xml,insertCustom,XML Parse Error: not well-formed (invalid token): line 227
TbAirRq300Mapper_Custom.xml,selectRefundRequestListVoidInfo,XML Parse Error: not well-formed (invalid token): line 3030
TbAirRv135EbyMapper_Custom.xml,selectPaymentList,XML Parse Error: not well-formed (invalid token): line 77
TbAirTk121Mapper_Custom.xml,insertCustom,XML Parse Error: not well-formed (invalid token): line 99
TbNvrFb200Mapper_Custom.xml,insertEventSendFare_10g,XML Parse Error: not well-formed (invalid token): line 353
TbAirTk111Mapper_Custom.xml,insertCustom,XML Parse Error: not well-formed (invalid token): line 32
TbNvrPm100TmpMapper_Custom.xml,insertDefaultPromotion,XML Parse Error: not well-formed (invalid token): line 19
TbTaiFb100Mapper_Custom.xml,selectDiscountB2bFilter,XML Parse Error: not well-formed (invalid token): line 3624
TbAirEd130Mapper_Custom.xml,selectAccountRequestInfo,XML Parse Error: mismatched tag: line 634
TbAirTk310Mapper_Custom.xml,insertCustom,XML Parse Error: not well-formed (invalid token): line 1071
