Folder,DBMS,File Name,Sequence,SQL Type,SQL ID
AccountMapper_orcl/transform,pg,AccountMapper,05,update,updateProfile
AccountMapper_orcl/transform,pg,AccountMapper,03,update,updateAccount
AccountMapper_orcl/transform,pg,AccountMapper,07,update,updateSignon
AccountMapper_orcl/transform,pg,AccountMapper,04,insert,insertAccount
AccountMapper_orcl/transform,pg,AccountMapper,02,select,getAccountByUsernameAndPassword
AccountMapper_orcl/transform,pg,AccountMapper,08,insert,insertSignon
AccountMapper_orcl/transform,pg,AccountMapper,06,insert,insertProfile
AccountMapper_orcl/transform,pg,AccountMapper,01,select,getAccountByUsername
OrderMapper_orcl/transform,pg,OrderMapper,01,select,getOrder
OrderMapper_orcl/transform,pg,OrderMapper,03,insert,insertOrder
OrderMapper_orcl/transform,pg,OrderMapper,02,select,getOrdersByUsername
OrderMapper_orcl/transform,pg,OrderMapper,04,insert,insertOrderStatus
ItemMapper_orcl/transform,pg,ItemMapper,01,select,getItemListByProduct
ItemMapper_orcl/transform,pg,ItemMapper,02,select,getItem
ItemMapper_orcl/transform,pg,ItemMapper,04,update,updateInventoryQuantity
ItemMapper_orcl/transform,pg,ItemMapper,03,select,getInventoryQuantity
LineItemMapper_orcl/transform,pg,LineItemMapper,01,select,getLineItemsByOrderId
LineItemMapper_orcl/transform,pg,LineItemMapper,02,insert,insertLineItem
CategoryMapper_orcl/transform,pg,CategoryMapper,01,select,getCategory
CategoryMapper_orcl/transform,pg,CategoryMapper,02,select,getCategoryList
ProductMapper_orcl/transform,pg,ProductMapper,03,select,searchProductList
ProductMapper_orcl/transform,pg,ProductMapper,02,select,getProductListByCategory
ProductMapper_orcl/transform,pg,ProductMapper,01,select,getProduct
SequenceMapper_orcl/transform,pg,SequenceMapper,02,update,updateSequence
SequenceMapper_orcl/transform,pg,SequenceMapper,01,select,getSequence
